ranking,product_id,price_elasticity_abs,price_mean,quantity_mean,p_value
1,1304849,128.4188163265144,2285.4649999999997,1.1111111111111112,0.03610726061757363
2,100083239,85.56091112755432,1075.9222222222222,1.6111111111111112,1.7687011089283688e-06
3,1307035,67.22967614789712,1009.1594444444444,0.7777777777777778,0.02204769667410877
4,100113894,43.96428407971897,705.5533333333332,3.2222222222222223,0.029391582155252328
5,1307584,14.36728925511099,380.3622222222222,28.166666666666668,0.00032071621149833406
6,1307072,13.826306011931564,540.1055555555554,3.4444444444444446,0.0028196503349888873
7,1307588,11.444359685579533,779.6244444444444,1.9444444444444444,0.04434736478776304
8,1307589,10.708559715839336,274.8233333333333,252.0,0.001091224809465047
9,1307585,10.410914846471686,446.1961111111111,2.6666666666666665,0.020082807230217974
10,100106045,10.405513322570831,913.6288888888889,23.944444444444443,0.0004908215327381871
11,100041192,9.987506715238275,438.1455555555556,4.611111111111111,0.00023469721411927832
12,100109950,9.231879920613716,461.21111111111105,23.61111111111111,0.03228249569478949
13,100008333,7.839109550643013,683.771111111111,7.5,0.0002937746188990583
14,100011103,7.358198630219198,319.55888888888893,263.44444444444446,0.00013501014337145834
15,1307572,7.327467400986638,408.37944444444446,3.9444444444444446,0.0051840381244809075
16,1307140,7.122075229368964,359.8094444444444,4.722222222222222,0.0014240114560439344
17,1305263,7.022497924462182,312.0411111111111,4.055555555555555,0.03119813743114119
18,1307586,6.3897365340665875,588.3555555555556,10.666666666666666,0.005769390422775447
19,1307187,6.007738302609127,932.0027777777777,44.77777777777778,0.006332074737261192
20,1307566,5.950055622187612,371.87833333333333,63.77777777777778,0.0035816219826843012
21,100029766,5.232200592230046,427.0338888888889,17.055555555555557,0.0034683436265081566
22,1307573,5.170336369451178,586.7016666666667,6.333333333333333,0.0003020831238670353
23,100008006,5.0451937301593945,692.1544444444444,10.944444444444445,0.04750034588486704
24,100106207,4.81428704653979,732.9816666666666,74.77777777777777,0.03414673940269542
25,1307574,4.292672603321136,418.8338888888889,28.833333333333332,0.0012330095265627524
26,1307370,3.2717973723683245,287.30777777777774,8.833333333333334,0.03217631474559731
27,1307582,3.2696055652825584,601.2638888888888,93.27777777777777,0.032513081953069886
28,1307310,2.935379899514113,314.36111111111114,127.94444444444444,0.03338552957520991
